,date,time,open,high,low,close,volume,ts,HH,HL,LH,LL
0,2021-07-22,00:00:00,21.0,22.8937,20.88,21.59,2545378,2021-07-22 00:00:00+00:00,0.0,0.0,0.0,0.0
1,2021-07-23,00:00:00,22.0,24.0,21.5,22.89,664306,2021-07-23 00:00:00+00:00,0.0,0.0,0.0,0.0
2,2021-07-26,00:00:00,23.2,24.81,23.0001,23.49,642508,2021-07-26 00:00:00+00:00,0.0,0.0,0.0,0.0
3,2021-07-27,00:00:00,23.63,23.7774,22.0,23.2,584254,2021-07-27 00:00:00+00:00,0.0,0.0,0.0,0.0
4,2021-07-28,00:00:00,23.1,24.75,22.85,24.5,1213535,2021-07-28 00:00:00+00:00,0.0,0.0,0.0,0.0
5,2021-07-29,00:00:00,25.04,29.21,24.93,28.54,378061,2021-07-29 00:00:00+00:00,0.0,0.0,0.0,0.0
6,2021-07-30,00:00:00,29.42,29.5819,27.26,28.48,201256,2021-07-30 00:00:00+00:00,0.0,0.0,0.0,0.0
7,2021-08-02,00:00:00,28.76,29.98,28.76,29.29,306646,2021-08-02 00:00:00+00:00,0.0,0.0,0.0,0.0
8,2021-08-03,00:00:00,29.5,31.39,29.0001,30.29,212896,2021-08-03 00:00:00+00:00,0.0,0.0,0.0,0.0
9,2021-08-04,00:00:00,31.5301,31.5301,24.88,25.2,509893,2021-08-04 00:00:00+00:00,0.0,0.0,0.0,0.0
10,2021-08-05,00:00:00,24.83,26.73,23.7,26.04,309975,2021-08-05 00:00:00+00:00,0.0,0.0,0.0,0.0
11,2021-08-06,00:00:00,25.83,27.3,25.4,26.85,185171,2021-08-06 00:00:00+00:00,0.0,0.0,0.0,0.0
12,2021-08-09,00:00:00,27.24,28.28,26.75,27.55,231992,2021-08-09 00:00:00+00:00,0.0,0.0,0.0,0.0
13,2021-08-10,00:00:00,27.36,27.84,26.0264,26.57,224833,2021-08-10 00:00:00+00:00,0.0,0.0,0.0,0.0
14,2021-08-11,00:00:00,26.79,26.79,23.72,23.82,191049,2021-08-11 00:00:00+00:00,0.0,0.0,0.0,0.0
15,2021-08-12,00:00:00,24.07,26.0,23.69,23.85,242131,2021-08-12 00:00:00+00:00,0.0,0.0,0.0,0.0
16,2021-08-13,00:00:00,23.97,25.39,23.6501,25.01,336368,2021-08-13 00:00:00+00:00,0.0,0.0,0.0,0.0
17,2021-08-16,00:00:00,24.5,24.51,19.8,21.09,696893,2021-08-16 00:00:00+00:00,0.0,0.0,0.0,0.0
18,2021-08-17,00:00:00,20.97,22.665,19.35,19.5,551675,2021-08-17 00:00:00+00:00,0.0,0.0,0.0,0.0
19,2021-08-18,00:00:00,19.17,21.08,19.0301,20.52,263727,2021-08-18 00:00:00+00:00,0.0,0.0,0.0,0.0
20,2021-08-19,00:00:00,20.38,21.29,20.0,20.5,374760,2021-08-19 00:00:00+00:00,0.0,0.0,0.0,0.0
21,2021-08-20,00:00:00,20.67,23.125,20.01,22.52,219432,2021-08-20 00:00:00+00:00,0.0,0.0,0.0,0.0
22,2021-08-23,00:00:00,22.78,23.62,22.09,22.39,207479,2021-08-23 00:00:00+00:00,0.0,0.0,0.0,0.0
23,2021-08-24,00:00:00,22.17,23.28,22.056,22.62,166545,2021-08-24 00:00:00+00:00,0.0,0.0,0.0,0.0
24,2021-08-25,00:00:00,22.48,22.48,19.85,19.85,221097,2021-08-25 00:00:00+00:00,0.0,0.0,0.0,0.0
25,2021-08-26,00:00:00,19.99,21.8,19.9517,21.57,256602,2021-08-26 00:00:00+00:00,0.0,0.0,0.0,0.0
26,2021-08-27,00:00:00,21.44,21.93,19.79,19.8,166863,2021-08-27 00:00:00+00:00,0.0,0.0,0.0,0.0
27,2021-08-30,00:00:00,19.85,20.395,17.0001,18.21,407924,2021-08-30 00:00:00+00:00,0.0,0.0,0.0,0.0
28,2021-08-31,00:00:00,18.41,19.64,18.27,18.78,212085,2021-08-31 00:00:00+00:00,0.0,0.0,0.0,0.0
29,2021-09-01,00:00:00,18.94,19.389,18.17,18.88,223925,2021-09-01 00:00:00+00:00,0.0,0.0,0.0,0.0
30,2021-09-02,00:00:00,19.07,19.59,18.675,19.41,95349,2021-09-02 00:00:00+00:00,0.0,0.0,0.0,0.0
31,2021-09-03,00:00:00,19.32,20.44,19.01,20.08,114441,2021-09-03 00:00:00+00:00,0.0,0.0,0.0,0.0
32,2021-09-07,00:00:00,20.03,20.94,17.05,17.25,476268,2021-09-07 00:00:00+00:00,0.0,0.0,0.0,0.0
33,2021-09-08,00:00:00,17.21,17.38,14.09,14.28,645466,2021-09-08 00:00:00+00:00,0.0,0.0,0.0,0.0
34,2021-09-09,00:00:00,14.5,14.7,13.6828,14.3,348225,2021-09-09 00:00:00+00:00,0.0,0.0,0.0,0.0
35,2021-09-10,00:00:00,14.27,14.53,13.69,14.04,231037,2021-09-10 00:00:00+00:00,0.0,0.0,0.0,0.0
36,2021-09-13,00:00:00,14.01,14.37,13.751,14.22,176613,2021-09-13 00:00:00+00:00,0.0,0.0,0.0,0.0
37,2021-09-14,00:00:00,14.32,14.78,13.82,14.22,276211,2021-09-14 00:00:00+00:00,0.0,0.0,0.0,0.0
