date,time,open,high,low,close,volume,ts
2015-10-05,00:00:00,27.47,27.8424,27.2675,27.695,208132400,2015-10-05 00:00:00+00:00
2015-10-06,00:00:00,27.6575,27.935,27.4413,27.8275,194808800,2015-10-06 00:00:00+00:00
2015-10-07,00:00:00,27.935,27.9425,27.3525,27.695,186871080,2015-10-07 00:00:00+00:00
2015-10-08,00:00:00,27.5475,27.5475,27.0525,27.375,246989040,2015-10-08 00:00:00+00:00
2015-10-09,00:00:00,27.5,28.07,27.3725,28.03,210882480,2015-10-09 00:00:00+00:00
2015-10-12,00:00:00,28.1825,28.1875,27.86,27.9,121547320,2015-10-12 00:00:00+00:00
2015-10-13,00:00:00,27.705,28.1125,27.67,27.9475,131883160,2015-10-13 00:00:00+00:00
2015-10-14,00:00:00,27.8225,27.88,27.39,27.5525,177736880,2015-10-14 00:00:00+00:00
2015-10-15,00:00:00,27.7325,28.025,27.6225,27.965,150488800,2015-10-15 00:00:00+00:00
2015-10-16,00:00:00,27.945,28.0,27.6325,27.76,155179720,2015-10-16 00:00:00+00:00
2015-10-19,00:00:00,27.7,27.9375,27.5275,27.9325,118895000,2015-10-19 00:00:00+00:00
2015-10-20,00:00:00,27.835,28.5425,27.705,28.4425,195716800,2015-10-20 00:00:00+00:00
2015-10-21,00:00:00,28.5,28.895,28.425,28.44,169107520,2015-10-21 00:00:00+00:00
2015-10-22,00:00:00,28.5825,28.875,28.525,28.875,165722640,2015-10-22 00:00:00+00:00
2015-10-23,00:00:00,29.175,29.807,29.0825,29.77,237006960,2015-10-23 00:00:00+00:00
2015-10-26,00:00:00,29.52,29.5325,28.73,28.82,264559080,2015-10-26 00:00:00+00:00
2015-10-27,00:00:00,28.85,29.135,28.4975,28.6375,270693800,2015-10-27 00:00:00+00:00
2015-10-28,00:00:00,29.2325,29.825,29.015,29.8175,341744840,2015-10-28 00:00:00+00:00
2015-10-29,00:00:00,29.675,30.1725,29.5675,30.1325,204424400,2015-10-29 00:00:00+00:00
2015-10-30,00:00:00,30.2475,30.305,29.8625,29.875,197220880,2015-10-30 00:00:00+00:00
2015-11-02,00:00:00,29.9675,30.34,29.9025,30.295,128611480,2015-11-02 00:00:00+00:00
2015-11-03,00:00:00,30.1975,30.8725,30.175,30.6425,181917040,2015-11-03 00:00:00+00:00
2015-11-04,00:00:00,30.7825,30.955,30.405,30.5,179316240,2015-11-04 00:00:00+00:00
2015-11-05,00:00:00,30.4625,30.6725,30.045,30.23,157933600,2015-11-05 00:00:00+00:00
2015-11-06,00:00:00,30.2775,30.4525,30.155,30.265,132036440,2015-11-06 00:00:00+00:00
2015-11-09,00:00:00,30.24,30.4525,30.0125,30.1425,135317160,2015-11-09 00:00:00+00:00
2015-11-10,00:00:00,29.225,29.5175,29.0153,29.1925,236117600,2015-11-10 00:00:00+00:00
2015-11-11,00:00:00,29.0925,29.355,28.8025,29.0275,180717600,2015-11-11 00:00:00+00:00
2015-11-12,00:00:00,29.065,29.205,28.9125,28.93,129845400,2015-11-12 00:00:00+00:00
2015-11-13,00:00:00,28.8,28.8925,28.0675,28.085,182221200,2015-11-13 00:00:00+00:00
2015-11-16,00:00:00,27.845,28.56,27.75,28.5437,151918280,2015-11-16 00:00:00+00:00
2015-11-17,00:00:00,28.73,28.7625,28.33,28.4225,110336080,2015-11-17 00:00:00+00:00
