Date,Close/Last,Volume,Open,High,Low
10/03/2025,$5.90,9112336,$6.25,$6.41,$5.865
10/02/2025,$5.98,9793123,$6.055,$6.21,$5.90
10/01/2025,$5.96,13906890,$5.07,$5.97,$5.07
09/30/2025,$5.03,4540191,$4.89,$5.05,$4.8112
09/29/2025,$4.87,3694769,$4.795,$4.87,$4.59
09/26/2025,$4.74,3832421,$4.65,$4.75,$4.51
09/25/2025,$4.65,3448085,$4.60,$4.72,$4.505
09/24/2025,$4.77,6587090,$4.95,$5.105,$4.70
09/23/2025,$4.90,10178000,$5.03,$5.04,$4.84
09/22/2025,$4.83,5749503,$4.51,$4.95,$4.47
09/19/2025,$4.51,5965311,$4.68,$4.75,$4.49
09/18/2025,$4.72,3764780,$4.60,$4.79,$4.5999
09/17/2025,$4.57,4753356,$4.775,$4.80,$4.49
09/16/2025,$4.77,5206710,$4.36,$4.85,$4.35
09/15/2025,$4.35,3133888,$4.505,$4.5776,$4.32
09/12/2025,$4.47,3027116,$4.61,$4.6999,$4.45
09/11/2025,$4.61,4576110,$4.32,$4.69,$4.28
09/10/2025,$4.28,3602810,$4.26,$4.51,$4.1804
09/09/2025,$4.24,3130867,$4.18,$4.24,$4.09
09/08/2025,$4.17,2824672,$4.22,$4.25,$4.085
09/05/2025,$4.22,4173513,$4.24,$4.28,$4.09
09/04/2025,$4.16,7205256,$3.985,$4.175,$3.83
09/03/2025,$3.99,4244745,$4.09,$4.23,$3.96
09/02/2025,$4.05,3632383,$4.11,$4.30,$4.03
08/29/2025,$4.18,3621957,$4.30,$4.40,$4.145
08/28/2025,$4.30,2468753,$4.43,$4.4498,$4.285
08/27/2025,$4.35,2171974,$4.39,$4.515,$4.3201
08/26/2025,$4.37,3281044,$4.24,$4.55,$4.24
08/25/2025,$4.23,2603917,$4.36,$4.40,$4.20
08/22/2025,$4.39,4135810,$4.28,$4.53,$4.22
08/21/2025,$4.30,4111858,$4.13,$4.40,$4.13
08/20/2025,$4.17,5936634,$4.20,$4.24,$4.01
08/19/2025,$4.29,5208631,$4.71,$4.71,$4.25
08/18/2025,$4.67,3713391,$4.70,$4.81,$4.48
08/15/2025,$4.59,4429997,$4.50,$4.67,$4.4608
08/14/2025,$4.50,6437743,$4.42,$4.75,$4.36
08/13/2025,$4.58,5648721,$4.29,$4.7699,$4.27
08/12/2025,$4.27,5044706,$4.49,$4.5494,$4.26
08/11/2025,$4.50,7741900,$4.34,$4.63,$4.235
08/08/2025,$4.25,13286620,$4.82,$5.01,$3.93
08/07/2025,$4.24,8570893,$4.125,$4.26,$4.03
08/06/2025,$4.12,4531732,$4.34,$4.34,$4.09
08/05/2025,$4.36,2780344,$4.36,$4.4067,$4.24
08/04/2025,$4.34,3616724,$4.275,$4.38,$4.13
08/01/2025,$4.24,6655669,$4.23,$4.445,$4.185
07/31/2025,$4.47,4718827,$4.54,$4.6398,$4.42
07/30/2025,$4.57,3826709,$4.67,$4.82,$4.55
07/29/2025,$4.69,6224090,$4.92,$4.945,$4.635
07/28/2025,$4.92,4144697,$5.15,$5.1868,$4.8912
07/25/2025,$5.11,5190671,$5.01,$5.15,$4.67
07/24/2025,$5.02,5734378,$4.99,$5.36,$4.9576
07/23/2025,$4.99,4674798,$5.03,$5.10,$4.89
07/22/2025,$4.92,7345225,$5.23,$5.23,$4.8911
07/21/2025,$5.15,18401450,$4.87,$5.82,$4.8023
07/18/2025,$4.48,11595410,$3.945,$4.70,$3.94
07/17/2025,$3.90,5800856,$4.13,$4.13,$3.87
07/16/2025,$4.06,7163588,$3.985,$4.10,$3.91
07/15/2025,$3.94,6802562,$4.405,$4.4599,$3.892
07/14/2025,$4.24,8068703,$4.01,$4.40,$3.965
07/11/2025,$4.01,5621146,$4.26,$4.27,$3.995
07/10/2025,$4.25,4258756,$4.30,$4.33,$4.14
07/09/2025,$4.22,6999857,$3.97,$4.2864,$3.90
07/08/2025,$3.89,5209001,$4.05,$4.06,$3.83
07/07/2025,$4.03,7354064,$3.83,$4.115,$3.71
07/03/2025,$3.80,1951532,$3.77,$3.81,$3.66
07/02/2025,$3.75,8663641,$3.46,$3.77,$3.37
07/01/2025,$3.49,7516284,$3.38,$3.52,$3.28
06/30/2025,$3.43,8490373,$3.67,$3.755,$3.415
06/27/2025,$3.61,6205021,$3.76,$3.7896,$3.52
06/26/2025,$3.74,4796254,$3.80,$3.87,$3.70
06/25/2025,$3.80,9939087,$3.98,$4.085,$3.60
06/24/2025,$3.68,8123027,$3.35,$3.77,$3.35
06/23/2025,$3.33,5319841,$3.35,$3.44,$3.22
06/20/2025,$3.41,8763733,$3.50,$3.5452,$3.24
06/18/2025,$3.47,8696081,$3.15,$3.50,$3.10
06/17/2025,$3.12,7394201,$3.16,$3.355,$3.11
06/16/2025,$3.16,7296534,$3.30,$3.355,$3.05
06/13/2025,$3.20,7090663,$3.00,$3.23,$2.98
06/12/2025,$3.15,8049363,$3.20,$3.31,$3.08
06/11/2025,$3.23,20132000,$3.50,$3.57,$3.14
06/10/2025,$3.02,18779010,$2.55,$3.04,$2.525
06/09/2025,$2.51,4555296,$2.49,$2.53,$2.45
06/06/2025,$2.44,3804461,$2.41,$2.49,$2.38
06/05/2025,$2.37,4117872,$2.43,$2.44,$2.33
06/04/2025,$2.42,4070566,$2.30,$2.44,$2.27
06/03/2025,$2.31,5006292,$2.12,$2.34,$2.09
