Date,Close/Last,Volume,Open,High,Low
10/03/2025,$3.38,7255031,$3.60,$3.62,$3.29
10/02/2025,$3.55,11700220,$3.38,$3.70,$3.27
10/01/2025,$3.13,7431883,$3.01,$3.28,$3.01
09/30/2025,$3.04,4770947,$2.92,$3.06,$2.8801
09/29/2025,$2.97,7190452,$2.71,$3.01,$2.70
09/26/2025,$2.73,4502289,$2.64,$2.77,$2.61
09/25/2025,$2.65,5931560,$2.54,$2.6788,$2.48
09/24/2025,$2.49,5266252,$2.635,$2.66,$2.475
09/23/2025,$2.60,3812325,$2.71,$2.77,$2.60
09/22/2025,$2.69,3655663,$2.64,$2.73,$2.605
09/19/2025,$2.61,8735933,$2.70,$2.75,$2.60
09/18/2025,$2.69,3414635,$2.60,$2.75,$2.59
09/17/2025,$2.55,4024694,$2.67,$2.725,$2.52
09/16/2025,$2.70,3026261,$2.61,$2.74,$2.58
09/15/2025,$2.62,3627639,$2.57,$2.66,$2.53
09/12/2025,$2.55,7062187,$2.78,$2.78,$2.55
09/11/2025,$2.74,14610900,$2.52,$2.89,$2.50
09/10/2025,$2.38,3891457,$2.60,$2.60,$2.37
09/09/2025,$2.54,2048692,$2.51,$2.56,$2.455
09/08/2025,$2.51,3112186,$2.50,$2.59,$2.45
09/05/2025,$2.46,2853875,$2.44,$2.49,$2.35
09/04/2025,$2.40,2370353,$2.40,$2.41,$2.325
09/03/2025,$2.38,2565573,$2.38,$2.46,$2.325
09/02/2025,$2.34,2986471,$2.35,$2.47,$2.32
08/29/2025,$2.39,3090352,$2.47,$2.50,$2.37
08/28/2025,$2.47,3129364,$2.56,$2.58,$2.45
08/27/2025,$2.55,2523018,$2.55,$2.58,$2.51
08/26/2025,$2.55,2842060,$2.56,$2.58,$2.50
08/25/2025,$2.54,3188182,$2.63,$2.65,$2.515
08/22/2025,$2.63,3884994,$2.58,$2.725,$2.56
08/21/2025,$2.56,3626698,$2.55,$2.62,$2.49
08/20/2025,$2.57,3753867,$2.65,$2.655,$2.54
08/19/2025,$2.62,7007140,$2.81,$2.83,$2.54
08/18/2025,$2.83,3729756,$2.90,$2.93,$2.8035
08/15/2025,$2.93,6147476,$3.01,$3.025,$2.82
08/14/2025,$3.00,4731297,$3.00,$3.08,$2.91
08/13/2025,$3.12,13483740,$2.835,$3.40,$2.80
08/12/2025,$2.97,5208974,$2.90,$3.01,$2.86
08/11/2025,$2.85,3871139,$2.90,$3.00,$2.82
08/08/2025,$2.84,3249611,$2.93,$2.97,$2.83
08/07/2025,$2.92,3900080,$2.98,$3.04,$2.89
08/06/2025,$2.91,3747971,$2.93,$2.96,$2.825
08/05/2025,$2.95,3430886,$3.00,$3.01,$2.90
08/04/2025,$2.99,3273925,$2.94,$3.01,$2.85
08/01/2025,$2.90,4923905,$2.75,$2.92,$2.74
07/31/2025,$2.83,4883026,$2.92,$3.00,$2.81
07/30/2025,$2.92,8852758,$2.98,$3.1699,$2.88
07/29/2025,$2.95,10266480,$3.14,$3.20,$2.87
07/28/2025,$2.97,9306857,$3.04,$3.09,$2.90
07/25/2025,$2.89,23754500,$2.93,$2.955,$2.59
07/24/2025,$3.51,3052305,$3.50,$3.59,$3.41
07/23/2025,$3.52,4194986,$3.67,$3.74,$3.43
07/22/2025,$3.63,5784880,$3.495,$3.64,$3.39
07/21/2025,$3.51,10851760,$3.21,$3.76,$3.21
07/18/2025,$3.12,8762232,$2.90,$3.23,$2.895
07/17/2025,$2.88,9727203,$2.72,$2.89,$2.72
07/16/2025,$2.74,4537548,$2.63,$2.75,$2.58
07/15/2025,$2.57,3392625,$2.66,$2.68,$2.5509
07/14/2025,$2.66,3195563,$2.65,$2.7092,$2.62
07/11/2025,$2.67,2928151,$2.71,$2.72,$2.63
07/10/2025,$2.73,2957339,$2.85,$2.85,$2.72
07/09/2025,$2.83,6197044,$2.68,$2.92,$2.66
07/08/2025,$2.64,4274442,$2.61,$2.76,$2.605
07/07/2025,$2.58,3869923,$2.735,$2.735,$2.54
07/03/2025,$2.77,2711520,$2.78,$2.815,$2.715
07/02/2025,$2.69,3226696,$2.59,$2.715,$2.535
07/01/2025,$2.59,4070121,$2.56,$2.695,$2.49
06/30/2025,$2.57,4245167,$2.68,$2.68,$2.56
06/27/2025,$2.62,7396809,$2.725,$2.748,$2.61
06/26/2025,$2.71,4781063,$2.775,$2.79,$2.65
06/25/2025,$2.76,4193595,$2.84,$2.86,$2.67
06/24/2025,$2.81,3786081,$2.80,$2.83,$2.73
06/23/2025,$2.76,4670583,$2.75,$2.78,$2.64
06/20/2025,$2.79,9796377,$2.985,$3.03,$2.76
06/18/2025,$2.75,3969655,$2.71,$2.89,$2.65
06/17/2025,$2.71,3140960,$2.81,$2.8688,$2.70
06/16/2025,$2.82,1983833,$2.83,$2.87,$2.75
06/13/2025,$2.78,2238447,$2.77,$2.83,$2.71
06/12/2025,$2.84,2763527,$2.98,$3.0368,$2.83
06/11/2025,$3.01,2589659,$3.07,$3.12,$2.93
06/10/2025,$3.03,4162136,$2.98,$3.28,$2.97
06/09/2025,$2.97,2188744,$3.07,$3.10,$2.93
06/06/2025,$3.03,3230878,$2.87,$3.07,$2.86
06/05/2025,$2.84,2751490,$2.87,$2.94,$2.78
06/04/2025,$2.85,2681353,$2.78,$2.95,$2.7646
06/03/2025,$2.78,1561949,$2.73,$2.80,$2.675
06/02/2025,$2.73,2391876,$2.68,$2.81,$2.635
05/30/2025,$2.65,2133977,$2.71,$2.72,$2.59
05/29/2025,$2.74,2172991,$2.80,$2.84,$2.66
05/28/2025,$2.74,1850737,$2.70,$2.78,$2.67
05/27/2025,$2.72,2187301,$2.69,$2.795,$2.62
05/23/2025,$2.66,2031452,$2.60,$2.6802,$2.56
05/22/2025,$2.66,2239315,$2.67,$2.7154,$2.63
05/21/2025,$2.70,2758889,$2.76,$2.78,$2.66
05/20/2025,$2.79,2407521,$2.75,$2.875,$2.69
05/19/2025,$2.77,3535349,$2.81,$2.835,$2.675
05/16/2025,$2.88,2940739,$2.97,$3.065,$2.85
05/15/2025,$2.96,2754445,$2.91,$2.99,$2.831
05/14/2025,$2.91,10466320,$3.61,$3.65,$2.83
05/13/2025,$2.96,4824258,$2.91,$2.96,$2.75
05/12/2025,$2.93,3062490,$2.93,$2.98,$2.81
05/09/2025,$2.75,2105944,$2.81,$2.89,$2.73
05/08/2025,$2.80,3293336,$2.70,$2.94,$2.62
05/07/2025,$2.66,1832505,$2.73,$2.76,$2.62
05/06/2025,$2.65,2602450,$2.85,$2.85,$2.64
05/05/2025,$2.87,1798814,$3.01,$3.03,$2.85
05/02/2025,$3.03,1726884,$3.09,$3.155,$3.02
05/01/2025,$3.03,1530190,$3.10,$3.12,$2.97
04/30/2025,$3.07,2260391,$2.98,$3.09,$2.85
04/29/2025,$3.03,1459733,$3.17,$3.19,$3.00
04/28/2025,$3.19,1533908,$3.13,$3.24,$3.095
04/25/2025,$3.13,1576441,$3.22,$3.24,$3.12
04/24/2025,$3.22,1461309,$3.20,$3.26,$3.135
04/23/2025,$3.19,2604479,$3.37,$3.54,$3.19
04/22/2025,$3.21,2699088,$3.14,$3.30,$3.12
04/21/2025,$3.07,2717381,$3.01,$3.26,$3.01
04/17/2025,$3.09,1634531,$3.04,$3.12,$2.96
04/16/2025,$3.05,2442790,$3.11,$3.20,$2.95
04/15/2025,$3.12,3248301,$3.03,$3.298,$2.98
04/14/2025,$3.09,4146178,$3.11,$3.12,$2.88
04/11/2025,$3.02,7175332,$2.78,$3.02,$2.6203
04/10/2025,$2.455,3189639,$2.48,$2.59,$2.31
04/09/2025,$2.58,4638862,$2.21,$2.72,$2.18
04/08/2025,$2.27,2810699,$2.44,$2.49,$2.2315
04/07/2025,$2.32,3382250,$2.10,$2.43,$2.0105
04/04/2025,$2.28,3785013,$2.20,$2.30,$2.01
04/03/2025,$2.235,2809558,$2.285,$2.36,$2.23
04/02/2025,$2.48,3378159,$2.30,$2.615,$2.30
04/01/2025,$2.40,4036714,$2.52,$2.53,$2.34
03/31/2025,$2.51,3669210,$2.59,$2.59,$2.50
03/28/2025,$2.70,2323216,$2.80,$2.86,$2.68
03/27/2025,$2.81,2792702,$2.86,$2.93,$2.80
03/26/2025,$2.90,3547179,$3.07,$3.08,$2.90
03/25/2025,$3.07,2512347,$3.10,$3.145,$3.01
03/24/2025,$3.10,3014922,$3.11,$3.16,$3.06
03/21/2025,$3.01,3208916,$2.98,$3.11,$2.95
03/20/2025,$3.04,3799125,$2.94,$3.15,$2.93
03/19/2025,$2.98,5910308,$3.00,$3.09,$2.81
03/18/2025,$3.08,4643473,$3.14,$3.149,$2.96
03/17/2025,$3.21,3119300,$3.20,$3.32,$3.115
03/14/2025,$3.14,5130965,$2.975,$3.205,$2.9025
03/13/2025,$2.90,2994404,$3.14,$3.18,$2.90
03/12/2025,$3.12,3268927,$3.07,$3.26,$3.055
03/11/2025,$2.95,4467261,$3.03,$3.09,$2.865
03/10/2025,$3.06,4233689,$3.06,$3.14,$2.96
03/07/2025,$3.12,2715360,$3.10,$3.225,$3.031
03/06/2025,$3.10,4784889,$3.21,$3.26,$3.02
03/05/2025,$3.36,2609677,$3.28,$3.405,$3.22
03/04/2025,$3.27,7347615,$3.25,$3.35,$3.03
03/03/2025,$3.42,4498759,$3.94,$3.995,$3.37
02/28/2025,$3.85,3504779,$3.91,$4.16,$3.835
02/27/2025,$4.04,2980846,$4.32,$4.346,$4.04
02/26/2025,$4.22,3626258,$4.25,$4.415,$4.06
02/25/2025,$4.02,8319793,$4.33,$4.35,$3.78
02/24/2025,$4.475,5689438,$4.92,$4.925,$4.36
02/21/2025,$4.96,4969559,$5.25,$5.41,$4.79
02/20/2025,$5.19,4610249,$5.44,$5.54,$5.05
02/19/2025,$5.57,5452189,$5.79,$5.995,$5.455
02/18/2025,$5.79,9566076,$6.265,$6.33,$5.66
02/14/2025,$5.82,9911300,$5.09,$5.85,$5.03
02/13/2025,$5.00,3048000,$5.00,$5.05,$4.7717
02/12/2025,$4.99,6453779,$4.84,$5.05,$4.62
02/11/2025,$4.91,6023491,$4.27,$4.91,$4.17
02/10/2025,$4.33,4624325,$4.70,$4.75,$4.23
02/07/2025,$4.67,3464421,$4.71,$4.80,$4.50
02/06/2025,$4.72,4268919,$4.76,$4.88,$4.49
02/05/2025,$4.71,8492713,$4.30,$4.88,$4.30
02/04/2025,$4.35,12405990,$3.70,$4.38,$3.65
02/03/2025,$3.70,3849279,$3.50,$3.90,$3.40
01/31/2025,$3.71,3554895,$3.90,$4.01,$3.63
01/30/2025,$3.82,1993893,$3.78,$3.96,$3.70
01/29/2025,$3.74,2572008,$3.83,$4.04,$3.67
01/28/2025,$3.84,4286457,$3.89,$3.92,$3.5343
01/27/2025,$3.81,4313359,$3.88,$4.1981,$3.67
01/24/2025,$4.00,4668762,$4.16,$4.31,$3.92
01/23/2025,$4.17,6996222,$3.93,$4.2092,$3.79
01/22/2025,$4.03,22697080,$3.47,$4.40,$3.43
01/21/2025,$3.22,4328622,$2.96,$3.28,$2.85
01/17/2025,$2.90,2523047,$2.86,$2.99,$2.795
01/16/2025,$2.80,2569266,$2.84,$2.84,$2.70
01/15/2025,$2.86,4623374,$2.84,$2.97,$2.6545
01/14/2025,$2.71,3996142,$2.85,$2.86,$2.6626
01/13/2025,$2.85,3493460,$2.80,$2.86,$2.70
01/10/2025,$2.855,8321583,$3.08,$3.09,$2.81
01/08/2025,$3.22,59357510,$4.09,$4.22,$3.10
01/07/2025,$3.07,2096641,$3.39,$3.55,$3.06
01/06/2025,$3.37,2985130,$3.31,$3.64,$3.24
01/03/2025,$3.26,3306866,$2.72,$3.29,$2.72
01/02/2025,$2.71,2106987,$2.70,$2.94,$2.625
12/31/2024,$2.62,2381235,$2.68,$2.69,$2.545
