Date,Close/Last,Volume,Open,High,Low
10/03/2025,$0.1535,62732410,$0.1308,$0.156,$0.1303
10/02/2025,$0.129,30103250,$0.1265,$0.1334,$0.122
10/01/2025,$0.1211,28557510,$0.13,$0.1303,$0.117
09/30/2025,$0.13,23041000,$0.1423,$0.1458,$0.1291
09/29/2025,$0.14,46154180,$0.1574,$0.1649,$0.1349
09/26/2025,$0.147,87559080,$0.133,$0.162,$0.133
09/25/2025,$0.127,41841200,$0.125,$0.13,$0.117
09/24/2025,$0.1355,58596590,$0.147,$0.1476,$0.1201
09/23/2025,$0.15,92996780,$0.182,$0.1836,$0.1415
09/22/2025,$0.1674,159978000,$0.1524,$0.1936,$0.151
09/19/2025,$0.1444,516546100,$0.2106,$0.225,$0.12
09/18/2025,$0.16,825386500,$0.0845,$0.179,$0.0828
09/17/2025,$0.0808,70086590,$0.08,$0.086,$0.0735
09/16/2025,$0.0818,478437200,$0.0926,$0.1019,$0.0737
09/15/2025,$0.0666,93327080,$0.0637,$0.069,$0.0607
09/12/2025,$0.056,66422790,$0.052,$0.06,$0.0502
09/11/2025,$0.0505,16135650,$0.052,$0.053,$0.0491
09/10/2025,$0.0508,22978050,$0.0482,$0.0524,$0.048
09/09/2025,$0.0492,26775330,$0.0445,$0.0518,$0.043
09/08/2025,$0.0425,28906650,$0.0403,$0.046,$0.0403
09/05/2025,$0.041,35228370,$0.0522,$0.0522,$0.0403
09/04/2025,$0.051,29263380,$0.0531,$0.0531,$0.0473
09/03/2025,$0.0526,37140220,$0.0574,$0.0579,$0.0522
09/02/2025,$0.0578,26231030,$0.06,$0.06,$0.0563
08/29/2025,$0.0589,41671720,$0.0665,$0.0669,$0.0588
08/28/2025,$0.0689,92263160,$0.0603,$0.07,$0.0593
08/27/2025,$0.0597,101959700,$0.058,$0.06,$0.0567
08/26/2025,$0.058,21350010,$0.0621,$0.0629,$0.058
08/25/2025,$0.061,24868170,$0.0554,$0.0619,$0.0551
08/22/2025,$0.0569,26864220,$0.06,$0.06,$0.055
08/21/2025,$0.0585,25879140,$0.0551,$0.063,$0.054
08/20/2025,$0.0571,29873710,$0.0625,$0.0625,$0.052
08/19/2025,$0.062,47850720,$0.0665,$0.069,$0.0619
08/18/2025,$0.07,506383300,$0.0878,$0.0884,$0.0658
08/15/2025,$0.0595,40066770,$0.0714,$0.0714,$0.0593
08/14/2025,$0.0729,22882940,$0.075,$0.0765,$0.0688
08/13/2025,$0.0782,25058800,$0.0776,$0.0832,$0.076
08/12/2025,$0.0768,30303890,$0.085,$0.085,$0.076
08/11/2025,$0.0858,34579120,$0.0786,$0.0866,$0.0777
08/08/2025,$0.0775,26806260,$0.083,$0.083,$0.0745
08/07/2025,$0.083,58742160,$0.0814,$0.0875,$0.079
08/06/2025,$0.0803,34590560,$0.086,$0.0907,$0.078
08/05/2025,$0.0951,430504600,$0.1072,$0.12,$0.091
08/04/2025,$0.0793,84372620,$0.074,$0.083,$0.071
08/01/2025,$0.0799,84262960,$0.0892,$0.0892,$0.078
07/31/2025,$0.0803,35949090,$0.0964,$0.0964,$0.0756
07/30/2025,$0.0996,45973320,$0.109,$0.1138,$0.0983
07/29/2025,$0.1049,59247400,$0.12,$0.12,$0.0997
07/28/2025,$0.10,130082000,$0.15,$0.1515,$0.0975
07/25/2025,$0.3469,1105963,$0.3306,$0.3539,$0.33
07/24/2025,$0.3323,3666590,$0.2999,$0.3578,$0.2979
07/23/2025,$0.29,1280253,$0.2799,$0.296,$0.2734
07/22/2025,$0.2731,649313,$0.2722,$0.2799,$0.2651
07/21/2025,$0.2765,819255,$0.28,$0.2838,$0.27
07/18/2025,$0.2795,616450,$0.27,$0.2865,$0.2683
07/17/2025,$0.2765,303956,$0.2754,$0.2795,$0.2721
07/16/2025,$0.27,245661,$0.2775,$0.2824,$0.2662
07/15/2025,$0.273,388122,$0.2824,$0.2865,$0.2703
07/14/2025,$0.281,563615,$0.2675,$0.2828,$0.262
07/11/2025,$0.2686,317782,$0.2688,$0.2749,$0.262
07/10/2025,$0.2743,520160,$0.2765,$0.285,$0.2603
07/09/2025,$0.2758,907982,$0.255,$0.28,$0.255
07/08/2025,$0.253,339111,$0.2511,$0.2565,$0.2412
07/07/2025,$0.2411,327797,$0.2508,$0.2524,$0.24
07/03/2025,$0.25,459962,$0.246,$0.2548,$0.24
07/02/2025,$0.2424,403684,$0.2374,$0.2425,$0.2311
07/01/2025,$0.2319,497205,$0.242,$0.2486,$0.2306
06/30/2025,$0.2397,561596,$0.24,$0.2471,$0.2371
06/27/2025,$0.245,937866,$0.2378,$0.25,$0.23
06/26/2025,$0.2422,1290434,$0.244,$0.25,$0.2258
06/25/2025,$0.253,463704,$0.25,$0.2565,$0.2401
06/24/2025,$0.2538,544741,$0.2447,$0.2559,$0.2424
06/23/2025,$0.2424,643623,$0.25,$0.2618,$0.2401
