Date,Close/Last,Volume,Open,High,Low
10/03/2025,$3.32,2591020,$3.19,$3.33,$3.11
10/02/2025,$3.16,1069700,$3.00,$3.17,$2.97
10/01/2025,$3.00,1028582,$2.86,$3.03,$2.84
09/30/2025,$2.96,964940,$3.00,$3.05,$2.83
09/29/2025,$3.05,555897,$3.09,$3.16,$3.005
09/26/2025,$3.10,1024457,$2.94,$3.155,$2.92
09/25/2025,$2.93,1095043,$3.10,$3.20,$2.8808
09/24/2025,$3.16,576227,$3.17,$3.28,$3.12
09/23/2025,$3.18,949205,$3.17,$3.28,$3.12
09/22/2025,$3.18,1113351,$2.97,$3.255,$2.95
09/19/2025,$3.03,2304806,$3.15,$3.15,$3.01
09/18/2025,$3.13,708580,$3.00,$3.17,$2.92
09/17/2025,$2.95,1322444,$2.77,$3.18,$2.76
09/16/2025,$2.76,581567,$2.95,$2.98,$2.75
09/15/2025,$2.96,924972,$2.75,$2.96,$2.71
09/12/2025,$2.75,6128211,$2.84,$2.955,$2.74
09/11/2025,$2.87,436445,$2.85,$3.00,$2.78
09/10/2025,$2.84,867993,$2.78,$2.88,$2.76
09/09/2025,$2.80,673950,$2.75,$2.85,$2.71
09/08/2025,$2.76,1266674,$3.00,$3.00,$2.74
09/05/2025,$3.01,1658380,$2.83,$3.07,$2.83
09/04/2025,$2.82,1039133,$2.79,$2.895,$2.71
09/03/2025,$2.79,1557471,$2.62,$2.86,$2.62
09/02/2025,$2.59,1750060,$2.30,$2.649,$2.30
08/29/2025,$2.35,465077,$2.39,$2.44,$2.31
08/28/2025,$2.39,712935,$2.42,$2.5099,$2.38
08/27/2025,$2.40,683803,$2.36,$2.55,$2.33
08/26/2025,$2.36,625614,$2.34,$2.4089,$2.31
08/25/2025,$2.34,841400,$2.53,$2.56,$2.33
08/22/2025,$2.52,1343977,$2.29,$2.56,$2.29
08/21/2025,$2.27,677949,$2.19,$2.285,$2.09
08/20/2025,$2.20,1290107,$2.15,$2.23,$2.0326
08/19/2025,$2.16,1404291,$2.09,$2.285,$2.09
08/18/2025,$2.13,1392705,$2.24,$2.32,$2.10
08/15/2025,$2.25,1610659,$2.45,$2.45,$2.22
08/14/2025,$2.46,2445303,$2.14,$2.50,$2.125
08/13/2025,$2.18,1549461,$2.02,$2.23,$2.01
08/12/2025,$2.00,1725358,$2.25,$2.30,$1.99
08/11/2025,$2.23,4210220,$2.20,$2.415,$2.105
08/08/2025,$2.15,8927432,$1.63,$2.22,$1.54
08/07/2025,$1.46,651832,$1.43,$1.47,$1.42
08/06/2025,$1.43,518435,$1.57,$1.57,$1.43
08/05/2025,$1.56,603534,$1.56,$1.595,$1.51
08/04/2025,$1.55,487370,$1.45,$1.55,$1.4347
08/01/2025,$1.45,737122,$1.47,$1.49,$1.42
07/31/2025,$1.49,651233,$1.60,$1.635,$1.465
07/30/2025,$1.60,657189,$1.63,$1.73,$1.56
07/29/2025,$1.61,627610,$1.79,$1.81,$1.60
07/28/2025,$1.76,1221630,$1.91,$1.9993,$1.76
07/25/2025,$1.76,297049,$1.80,$1.80,$1.74
07/24/2025,$1.79,357453,$1.76,$1.81,$1.745
07/23/2025,$1.78,367288,$1.74,$1.8095,$1.71
07/22/2025,$1.72,390643,$1.63,$1.74,$1.62
07/21/2025,$1.62,409238,$1.57,$1.66,$1.56
07/18/2025,$1.59,301448,$1.67,$1.6992,$1.58
07/17/2025,$1.67,366184,$1.55,$1.67,$1.55
07/16/2025,$1.56,321138,$1.59,$1.60,$1.53
07/15/2025,$1.55,297161,$1.69,$1.69,$1.54
07/14/2025,$1.67,233741,$1.60,$1.69,$1.575
07/11/2025,$1.61,254301,$1.69,$1.705,$1.60
07/10/2025,$1.72,711080,$1.64,$1.745,$1.62
07/09/2025,$1.65,565502,$1.52,$1.69,$1.51
