Date,Close/Last,Volume,Open,High,Low
10/03/2025,$1.33,2435925,$1.27,$1.34,$1.27
10/02/2025,$1.29,2488522,$1.25,$1.29,$1.23
10/01/2025,$1.24,2403216,$1.24,$1.27,$1.23
09/30/2025,$1.24,2700230,$1.27,$1.306,$1.20
09/29/2025,$1.27,4928557,$1.26,$1.30,$1.21
09/26/2025,$1.25,3271771,$1.21,$1.2575,$1.19
09/25/2025,$1.20,2214675,$1.21,$1.22,$1.18
09/24/2025,$1.23,3644853,$1.17,$1.23,$1.16
09/23/2025,$1.17,2972475,$1.19,$1.20,$1.155
09/22/2025,$1.17,2595299,$1.17,$1.18,$1.13
09/19/2025,$1.16,3749789,$1.22,$1.23,$1.14
09/18/2025,$1.21,7231592,$1.17,$1.23,$1.165
09/17/2025,$1.13,3179119,$1.19,$1.20,$1.13
09/16/2025,$1.18,2685937,$1.14,$1.21,$1.14
09/15/2025,$1.15,2065343,$1.13,$1.1765,$1.12
09/12/2025,$1.13,1585522,$1.16,$1.16,$1.12
09/11/2025,$1.17,2005558,$1.11,$1.17,$1.11
09/10/2025,$1.11,1741352,$1.14,$1.15,$1.10
09/09/2025,$1.14,1525854,$1.13,$1.14,$1.09
09/08/2025,$1.14,1235270,$1.13,$1.15,$1.12
09/05/2025,$1.15,2359248,$1.10,$1.18,$1.10
09/04/2025,$1.11,2653115,$1.11,$1.1371,$1.06
09/03/2025,$1.12,3048377,$1.11,$1.2065,$1.11
09/02/2025,$1.12,3281209,$1.15,$1.18,$1.12
08/29/2025,$1.13,3344250,$1.18,$1.20,$1.11
08/28/2025,$1.18,8117853,$1.18,$1.27,$1.17
08/27/2025,$1.16,1602197,$1.16,$1.205,$1.15
08/26/2025,$1.16,1635797,$1.18,$1.20,$1.13
08/25/2025,$1.16,4758278,$1.21,$1.25,$1.16
08/22/2025,$1.19,7303040,$1.12,$1.23,$1.11
08/21/2025,$1.12,3475183,$1.04,$1.13,$1.04
08/20/2025,$1.06,2490866,$1.06,$1.0796,$1.03
08/19/2025,$1.05,2697163,$1.10,$1.12,$1.03
08/18/2025,$1.09,2746085,$1.11,$1.136,$1.075
08/15/2025,$1.10,5885676,$1.07,$1.21,$1.07
08/14/2025,$1.07,8138295,$1.05,$1.085,$0.9901
08/13/2025,$1.04,8033857,$1.06,$1.08,$1.03
08/12/2025,$1.03,1930569,$1.04,$1.0689,$1.01
08/11/2025,$1.03,2229859,$1.05,$1.06,$1.02
08/08/2025,$1.04,3658903,$1.04,$1.105,$1.01
08/07/2025,$1.05,8565518,$1.06,$1.10,$0.9842
08/06/2025,$1.06,5387054,$1.12,$1.12,$1.0212
08/05/2025,$1.12,5003810,$1.12,$1.16,$1.07
08/04/2025,$1.10,9617156,$1.11,$1.19,$1.10
08/01/2025,$1.08,19088420,$1.225,$1.225,$1.00
07/31/2025,$1.23,5859750,$1.29,$1.315,$1.22
07/30/2025,$1.29,9255398,$1.44,$1.50,$1.265
07/29/2025,$1.40,1995193,$1.47,$1.475,$1.395
07/28/2025,$1.47,2257560,$1.49,$1.5299,$1.45
07/25/2025,$1.50,2791768,$1.52,$1.5394,$1.4535
07/24/2025,$1.51,3838857,$1.65,$1.685,$1.49
07/23/2025,$1.66,7049378,$1.445,$1.69,$1.43
07/22/2025,$1.42,2900818,$1.33,$1.42,$1.31
07/21/2025,$1.32,3427697,$1.25,$1.36,$1.25
07/18/2025,$1.25,3713274,$1.26,$1.35,$1.24
07/17/2025,$1.24,1772695,$1.24,$1.27,$1.23
07/16/2025,$1.23,2175245,$1.24,$1.29,$1.21
07/15/2025,$1.24,1872305,$1.29,$1.31,$1.22
07/14/2025,$1.29,1802793,$1.27,$1.30,$1.25
07/11/2025,$1.28,2907374,$1.29,$1.33,$1.255
07/10/2025,$1.26,8098316,$1.23,$1.32,$1.20
07/09/2025,$1.21,9623993,$1.21,$1.265,$1.19
07/08/2025,$1.20,3707938,$1.19,$1.25,$1.1704
07/07/2025,$1.16,1981991,$1.22,$1.23,$1.13
07/03/2025,$1.19,1384912,$1.20,$1.21,$1.17
07/02/2025,$1.20,4810250,$1.19,$1.29,$1.18
07/01/2025,$1.18,2211580,$1.13,$1.23,$1.11
06/30/2025,$1.13,2137898,$1.18,$1.19,$1.12
06/27/2025,$1.18,5178774,$1.20,$1.23,$1.17
06/26/2025,$1.20,3129087,$1.23,$1.245,$1.16
06/25/2025,$1.24,1460855,$1.26,$1.275,$1.21
06/24/2025,$1.25,3013406,$1.22,$1.29,$1.20
06/23/2025,$1.22,1610080,$1.20,$1.2595,$1.18
06/20/2025,$1.23,3630549,$1.31,$1.3292,$1.2101
06/18/2025,$1.29,2123957,$1.29,$1.36,$1.26
06/17/2025,$1.30,1667801,$1.35,$1.39,$1.29
06/16/2025,$1.37,1764080,$1.35,$1.41,$1.3204
06/13/2025,$1.34,2450471,$1.35,$1.4186,$1.325
06/12/2025,$1.40,2282726,$1.43,$1.45,$1.3801
06/11/2025,$1.45,2594726,$1.49,$1.50,$1.44
06/10/2025,$1.46,2201817,$1.39,$1.51,$1.38
06/09/2025,$1.41,2214437,$1.45,$1.50,$1.37
06/06/2025,$1.42,3475881,$1.30,$1.47,$1.29
06/05/2025,$1.29,1651780,$1.29,$1.33,$1.27
06/04/2025,$1.29,1810538,$1.31,$1.355,$1.28
06/03/2025,$1.35,2472224,$1.28,$1.37,$1.23
06/02/2025,$1.27,6018054,$1.19,$1.37,$1.17
05/30/2025,$1.17,3019043,$1.18,$1.205,$1.10
05/29/2025,$1.18,1687322,$1.14,$1.20,$1.1204
05/28/2025,$1.14,2201500,$1.09,$1.19,$1.08
05/27/2025,$1.08,2589052,$1.07,$1.11,$1.03
05/23/2025,$1.06,2854018,$1.10,$1.12,$1.02
05/22/2025,$1.09,1095896,$1.09,$1.12,$1.07
05/21/2025,$1.11,1417192,$1.14,$1.17,$1.09
05/20/2025,$1.16,3131017,$1.13,$1.17,$1.07
05/19/2025,$1.09,2590574,$1.11,$1.14,$1.09
05/16/2025,$1.11,3173803,$1.10,$1.15,$1.06
05/15/2025,$1.09,4407886,$0.95,$1.09,$0.941
05/14/2025,$0.9528,13058570,$1.10,$1.10,$0.8621
05/13/2025,$1.13,7336617,$1.20,$1.20,$1.06
05/12/2025,$1.17,3798541,$1.19,$1.27,$1.16
05/09/2025,$1.16,3792359,$1.19,$1.28,$1.15
05/08/2025,$1.18,7595467,$1.21,$1.22,$1.09
05/07/2025,$1.20,6746512,$1.40,$1.40,$1.18
05/06/2025,$1.28,5778286,$1.591,$1.591,$1.25
05/05/2025,$1.62,3079924,$1.67,$1.76,$1.61
05/02/2025,$1.70,1916520,$1.72,$1.78,$1.69
05/01/2025,$1.69,1501931,$1.67,$1.71,$1.6335
04/30/2025,$1.68,6052229,$1.53,$1.70,$1.51
04/29/2025,$1.54,2276036,$1.57,$1.64,$1.49
04/28/2025,$1.57,1610292,$1.56,$1.64,$1.555
04/25/2025,$1.55,1086380,$1.56,$1.59,$1.52
04/24/2025,$1.57,1580318,$1.61,$1.62,$1.54
04/23/2025,$1.61,2181349,$1.645,$1.75,$1.60
04/22/2025,$1.59,2327436,$1.44,$1.59,$1.42
04/21/2025,$1.42,2180886,$1.41,$1.49,$1.39
04/17/2025,$1.45,2056913,$1.40,$1.48,$1.375
04/16/2025,$1.40,1273398,$1.44,$1.44,$1.39
04/15/2025,$1.46,1875187,$1.41,$1.53,$1.40
04/14/2025,$1.43,2578426,$1.47,$1.49,$1.38
04/11/2025,$1.45,2175965,$1.37,$1.46,$1.33
04/10/2025,$1.37,2572835,$1.42,$1.45,$1.36
