Date,Close/Last,Volume,Open,High,Low
10/03/2025,$2.18,1073489,$1.905,$2.24,$1.905
10/02/2025,$1.91,888943,$1.80,$1.91,$1.75
10/01/2025,$1.81,286404,$1.82,$1.86,$1.745
09/30/2025,$1.83,214283,$1.73,$1.83,$1.71
09/29/2025,$1.75,437803,$1.89,$1.8982,$1.72
09/26/2025,$1.87,700468,$1.76,$1.89,$1.66
09/25/2025,$1.79,1677588,$1.53,$1.84,$1.52
09/24/2025,$1.55,1566476,$1.28,$1.57,$1.27
09/23/2025,$1.26,599827,$1.25,$1.325,$1.24
09/22/2025,$1.27,739128,$1.22,$1.28,$1.13
09/19/2025,$1.21,3702066,$1.23,$1.40,$1.18
09/18/2025,$1.09,187208,$1.04,$1.09,$1.03
09/17/2025,$1.05,415627,$1.10,$1.13,$1.05
09/16/2025,$1.08,185103,$1.04,$1.10,$1.04
09/15/2025,$1.05,186189,$1.06,$1.1096,$1.02
09/12/2025,$1.06,411429,$1.18,$1.18,$1.01
09/11/2025,$1.18,361656,$1.18,$1.27,$1.18
09/10/2025,$1.17,281316,$1.10,$1.20,$1.10
09/09/2025,$1.09,285225,$1.10,$1.13,$1.06
09/08/2025,$1.11,351287,$1.22,$1.2249,$1.095
09/05/2025,$1.22,827913,$1.05,$1.255,$1.0113
09/04/2025,$1.08,237788,$1.01,$1.08,$0.99
09/03/2025,$1.02,301074,$1.00,$1.05,$0.96
09/02/2025,$1.03,708453,$1.13,$1.14,$1.015
08/29/2025,$1.17,526637,$1.14,$1.1785,$1.10
08/28/2025,$1.14,560003,$1.23,$1.25,$1.13
08/27/2025,$1.20,948180,$1.13,$1.25,$1.122
08/26/2025,$1.10,781719,$1.10,$1.16,$1.05
08/25/2025,$1.10,935289,$1.2179,$1.2179,$1.10
08/22/2025,$1.17,2878179,$1.05,$1.19,$1.03
08/21/2025,$1.03,2860680,$0.86,$1.05,$0.85
08/20/2025,$0.832,1104954,$0.90,$0.925,$0.7961
08/19/2025,$0.8896,2810886,$0.80,$0.983,$0.80
08/18/2025,$0.9709,16245180,$0.6823,$1.04,$0.6601
08/15/2025,$0.6443,219713,$0.6404,$0.6692,$0.6245
08/14/2025,$0.655,190310,$0.67,$0.6751,$0.6324
08/13/2025,$0.6606,606294,$0.62,$0.6927,$0.6171
08/12/2025,$0.6151,221695,$0.6268,$0.6268,$0.601
08/11/2025,$0.6145,296581,$0.65,$0.6724,$0.6111
08/08/2025,$0.6768,327802,$0.70,$0.70,$0.6475
08/07/2025,$0.7048,595695,$0.72,$0.72,$0.6605
08/06/2025,$0.701,697894,$0.6563,$0.72,$0.6563
08/05/2025,$0.6611,843230,$0.5737,$0.6649,$0.555
08/04/2025,$0.5867,313714,$0.517,$0.5895,$0.51
08/01/2025,$0.5181,415913,$0.55,$0.55,$0.51
07/31/2025,$0.5675,180012,$0.5791,$0.59,$0.56
07/30/2025,$0.597,574529,$0.59,$0.615,$0.57
07/29/2025,$0.58,1246270,$0.61,$0.6276,$0.56
07/28/2025,$0.626,1993946,$0.53,$0.636,$0.5288
07/25/2025,$0.5262,221192,$0.54,$0.54,$0.5081
07/24/2025,$0.54,645553,$0.5125,$0.54,$0.5056
07/23/2025,$0.5062,578286,$0.50,$0.5073,$0.4799
07/22/2025,$0.4799,241735,$0.4749,$0.484,$0.444
07/21/2025,$0.48,855603,$0.5066,$0.54,$0.4672
07/18/2025,$0.5066,297402,$0.47,$0.51,$0.4652
07/17/2025,$0.492,397913,$0.47,$0.50,$0.4665
07/16/2025,$0.467,243997,$0.4698,$0.4838,$0.451
07/15/2025,$0.4665,461236,$0.4569,$0.4899,$0.45
07/14/2025,$0.4688,280053,$0.485,$0.49,$0.45
07/11/2025,$0.4825,282188,$0.509,$0.51,$0.4803
07/10/2025,$0.497,339723,$0.5098,$0.53,$0.4845
07/09/2025,$0.5003,834078,$0.4526,$0.5098,$0.4526
07/08/2025,$0.4587,318202,$0.442,$0.465,$0.441
07/07/2025,$0.444,422654,$0.4542,$0.4698,$0.4399
07/03/2025,$0.4601,235616,$0.45,$0.468,$0.4452
07/02/2025,$0.445,273655,$0.43,$0.45,$0.42
07/01/2025,$0.4333,678140,$0.42,$0.4575,$0.4103
06/30/2025,$0.4151,379868,$0.425,$0.4436,$0.4102
06/27/2025,$0.4058,5317418,$0.4534,$0.4606,$0.404
06/26/2025,$0.4526,220716,$0.462,$0.462,$0.4433
06/25/2025,$0.4577,288167,$0.4631,$0.4666,$0.4515
